,1101 猟,1102 ㄈ猟,1216 参,1301 鹅,1303 玭ㄈ,1326 て,1402 环狥穝,2002 い葵,2105 タ穝,2633 芖蔼臟,2801 裹蝗,2823 い关,2880 地玭,2881 碔ü,2882 瓣,2883 秨祇,2884 ド,2885 じ,2886 伦,2887 穝,2890 ッ伦,2891 い獺,2892 材,5876 坝蝗,5880 畐,2912 参禬,5871 い-KY,9904 腳Θ,6505 鹅て,2303 羛筿,2330 縩筿,2408 玭ㄈ,2454 羛祇,3711 らるщ北,2301 腳,2357 地河,2382 約笷,2395 地,4938 ㎝河,2409 ね笷,3008 ミ,3481 竤承,2412 い地筿,3045 芖,4904 环肚,2308 笷筿,2327 瓣エ,2317 翬,2354 翬非,2474 Θ
るら,Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ),Μ絃基(じ)
2016/1/4,21.21,23.82,46.88,62.4,48.33,58.1,22.4,15.96,45.32,,12.34,19.48,11.56,37.86,36.39,6.69,13.66,10.63,17.67,8.53,7.26,13.12,11.88,,10.67,174.46,46.13,36.64,66.16,10.45,125.34,38.91,217.74,,25.26,220.25,42.7,171.34,59.36,7.81,"2,079.61",8.73,85.73,84.16,57.27,133.56,68.62,78.1,59.61,245.01
2016/1/5,21.41,23.59,47.06,62.83,48.41,58.35,22.4,15.82,45.93,,12.42,19.44,11.52,36.9,35.61,6.69,13.8,10.45,17.59,8.45,7.22,13.08,11.92,,10.67,174.02,45.78,37.12,65.64,10.41,123.99,38.78,215.52,,26.13,219.83,42.53,170.09,60.36,7.59,"2,017.46",8.65,86.26,84.5,56.75,133.11,68.36,78.2,58.73,238.26
2016/1/6,21.13,23.54,47.06,62.92,48.41,58.44,22.35,15.77,46.37,,12.51,19.29,11.48,35.64,34.96,6.62,13.84,10.41,17.29,8.53,7.2,12.92,11.84,,10.67,177.51,45.78,37.47,66.24,10.41,121.74,37.26,201.74,,26.09,221.93,41.98,174.68,56.93,7.5,"1,874.04",8.6,86.17,83.73,56.49,132.66,68.1,78.1,56.19,225.67
2016/1/7,22.18,23.73,46.8,62.92,48.5,58.78,22.62,15.91,46.02,,12.3,18.74,11.29,34.47,34.36,6.43,13.55,10,16.83,8.33,6.97,12.72,11.76,,10.52,170.97,44.15,36.9,65.56,10.14,119.5,36.61,183.08,,26.13,225.29,41.14,171.34,55.08,7.49,"1,749.74",8.66,86.61,83.73,56.75,132.66,68.1,77.41,56.1,203.2
2016/1/8,21.9,23.59,46.1,61.54,47.91,58.01,22.4,15.87,45.23,,12.26,18.74,11.29,34.47,34.62,6.44,13.4,10.05,17.04,8.26,7.03,12.8,11.76,,10.52,171.84,44.32,37.56,65.38,10.1,120.4,37.22,189.74,,25.63,232.44,42.45,169.26,56.17,7.53,"1,888.38",8.65,86.78,83.73,57.09,130.87,69.27,77.11,55.93,198.25
2016/1/11,21.09,23.32,45.14,61.8,47.91,58.52,22.26,15.82,45.58,,12.22,18.28,11.1,33.9,33.79,6.21,12.75,9.69,16.91,7.84,6.8,12.48,11.64,,10.36,168.35,44.15,36.9,65.38,9.79,119.5,38.86,185.74,,24.6,231.6,42.36,170.92,54.16,7.44,"1,850.14",8.5,87.3,84.42,57.18,129.98,68.75,74.54,53.47,199.6
2016/1/12,21.17,23.18,44.36,62.83,48.25,59.38,22.13,15.68,45.14,,12.26,18.4,11.18,34.42,33.71,6.22,12.56,9.64,17.04,7.8,6.8,12.4,11.68,,10.4,169.66,43.63,37.38,66.16,9.83,119.5,36.48,183.52,,24.97,230.34,42.53,172.18,55.84,7.86,"1,759.30",8.73,88.18,85.45,57.44,132.22,69.27,75.43,52.33,182.97
2016/1/13,21.7,23.45,45.49,64.55,48.08,59.97,22.22,15.91,44.53,,12.38,18.51,11.18,33.99,33.27,6.29,12.31,9.64,17,7.84,6.93,12.64,11.72,,10.44,174.46,45.09,36.99,67.88,9.79,119.95,36.82,183.52,,25.63,230.76,42.78,174.68,56.42,7.92,"1,878.82",8.91,88.61,85.45,57.96,132.66,68.23,75.73,52.07,193.76
2016/1/14,21.7,23.14,46.1,64.81,47.74,59.97,22.35,15.87,44.35,,12.22,18.32,11.14,33.03,32.06,6.18,12.09,9.33,16.83,7.72,6.76,12.52,11.68,,10.32,171.4,44.58,35.23,67.97,9.88,118.15,37.3,184.85,,25.26,230.76,42.78,175.09,55,7.78,"1,773.65",8.84,89.49,85.36,58.13,128.18,68.49,75.13,51.28,196.45
